channel,impedance_ohm
Fc5,7128.646076195076
Fc3,8275.600901621385
Fc1,200.0
Fcz,5363.835131139828
Fc2,5846.762012816045
Fc4,4240.89110797754
Fc6,6869.324155056969
C5,9971.552333082427
C3,5691.207828179068
C1,5740.672213293404
Cz,8429.027431538036
C2,25885.599741405025
C4,6670.352685375592
C6,4123.993147037497
Cp5,7470.701554843195
Cp3,9077.36786405555
Cp1,4403.58853230272
Cpz,6279.39613961397
Cp2,1888.4061832287944
Cp4,4226.001009721856
Cp6,2615.6003980152855
Fp1,6487.4608970009185
Fpz,3544.428133490583
Fp2,7679.1339746867825
Af7,7340.428170937412
Af3,6845.059927490302
Afz,843.5739303995498
Af4,6207.928830402279
Af8,6607.677622870968
F7,7448.158360801919
F5,3349.255418344876
F3,5503.098320980211
F1,4140.259188593545
Fz,5332.659726549967
F2,9833.3507234487
F4,4924.286496915923
F6,7056.724327147792
F8,8974.604258383426
Ft7,5624.420788858744
Ft8,6508.950782908066
T7,7342.236321452503
T8,7504.585747646846
T9,35386.94938613863
T10,7487.771409422194
Tp7,10035.08878508079
Tp8,3031.1665353012336
P7,3767.081669396035
P5,55539.16545898653
P3,5423.852943895778
P1,11931.999433842031
Pz,8811.962779364181
P2,4470.845886273332
P4,7684.618064823501
P6,8016.253107444179
P8,6938.98475926269
Po7,8104.201303483168
Po3,6576.638961833495
Poz,21358.96507221034
Po4,10635.177690075336
Po8,4944.248535884382
O1,32629.38757687835
Oz,5868.559895214165
O2,7075.473074880626
Iz,3807.593404133545
